I have	"J'ai"
au temps pour moi (au tamp pour moi)	its my fault
Quelle heure est il? (et il)	What time is it
une heure dix	ten mins past one
un demi (dumi)	a half
un quart (un car)	a quater
une heure et quart	quater past one
deux heure moins vingt (mwa)	twenty to two
deux heure moin le quart	quater to two
je peux (pu)	I can
tu peux / vous pouvez (pu-vay)	you can
il/elle peut (pu)	he/she can
nous pouvons (pu-von)	we can
ils/elles peuvent (pu-v)	they can
"aujourd'hui"	today
ce martain	this morning
cet apres-midi	this afternoon
ce soir (swa)	this evening
je veux	i want
tu veux / vous voulez (vou-lay)	you want
il/elle vout	he/she wants
nous voulons	we want
ils/els voulent (vou-l)	they want
"j'apprends (a-prwan)"	I learn
tu apprends / vous apprenez (apren-ay)	you learn
nous apprenons	we learn
ils/elles apprennent (ap-pren)	they are learning
je joue	i play
tu joues / vous jouenz	you play
il/elle joue	he she plays
nous jouons	we play
ils elles jouent	they play
je regarde	i watch
tu regardes / vous regardez	you watch
il/elle regarde	he/she watches
nous regardons	we watch
ils / elles regardent	they watch
je lis	i read
tu lis / vous lisent (lis)	you read
il/elle lit	he/she reads
nous lisons	we read
ils/elles lisent	they read
je dors	i sleep&nbsp;
tu dors / vous dormez	you sleep
il/elle dort	he/she sleeps
nous dormons	we sleep
ils/elles dorment	they sleep
"j'ecoute"	i listen
tu ecoutes / vous ecoutez	you listen
il/elle ecoute	he/she listens
nous ecoutons	we listen
ils/elles ecoutent	they listen
Mon&nbsp; &nbsp; (when refering to male noun)&nbsp;<div>Ma&nbsp; &nbsp; &nbsp; (female noun)</div><div>Mes&nbsp; &nbsp; (plural)</div>	My (x3)
Ton&nbsp; &nbsp; &nbsp;(singular male noun)<div>ta&nbsp; &nbsp; &nbsp; &nbsp; (singular female noun)</div><div>tes&nbsp; &nbsp; &nbsp; (plural)</div>	your (x3)
son&nbsp; &nbsp; &nbsp;(singular male noun)<div>sa&nbsp; &nbsp; &nbsp; &nbsp; (singular female noun)</div><div>ses&nbsp; &nbsp; &nbsp; (plural)</div>	his / her / its (x3)
votre&nbsp; &nbsp; &nbsp; &nbsp; (singular male noun)<div>votre&nbsp; &nbsp; &nbsp; &nbsp; (singular female noun)</div><div>vos&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; (plural)</div>	your formal (x3)
notre&nbsp; &nbsp; &nbsp; &nbsp; (singular male noun)<div>notre&nbsp; &nbsp; &nbsp; &nbsp; (singular female noun)<div>nos&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; (plural)</div></div>	our
leur&nbsp; &nbsp; &nbsp; &nbsp; (singular male noun)<div>leur&nbsp; &nbsp; &nbsp; &nbsp; (singular female noun)</div><div>leurs&nbsp; &nbsp; &nbsp; (plural)</div>	their (x3)
je veins	I come (from)
tu viens / vous venez (ven-ay)	you come (from)
il/ elle vient (vien)	he / she comes
nous venons	we come
ils/elles viennent (vien)	they come from
je dois (dwar)	I have to
tu dois / vous devez (du-vay)	you have to
il/elle doit (dwa)	he / she has to
nous devons (du-von)	we have to
ils elles doivent (dwarv)	they have to
ce (cet if word starts with vowel) (m) / cette (f)	This/ That (singluar)
ces	these/those plural
quand	when
pourpuoi	why
qui	who
ou	where
quelle	what
derriere	behind
sans	without
maintenant	now
je vois	i see
tu vois / vous voyez	you see
il / elle voit	he she sees
nous voyons	we see
ils elles voient	they see
Janvier	January
Fevrier	Febuary
mars	march
avril	april
mai	may
juin	june
julliet (juy-ey)	july
août (oout)	august
septembre	september
octobre	october
novembre	november
decembre	december
"j'ai pris"	i took
tu as pris / vous avez pris	you took
nous avons pris	we took
ils ont pris	they took
je suis allé	i went
